zone,pixel_id,universe,channel,cat_x,cat_y,cat_z,x_norm,y_norm,z_norm
main-arch,65,39,196,-12.3100,6.5207,2.9180,0.0000,0.3503,0.6907
main-arch,66,39,199,-12.3100,6.6161,2.8995,0.0000,0.3554,0.6897
main-arch,67,39,202,-12.3100,6.7115,2.8809,0.0000,0.3606,0.6886
main-arch,68,39,205,-12.3100,6.8054,2.8562,0.0000,0.3657,0.6872
main-arch,69,39,208,-12.3100,6.8987,2.8292,0.0000,0.3707,0.6856
main-arch,70,39,211,-12.3100,6.9918,2.8012,0.0000,0.3758,0.6840
main-arch,71,39,214,-12.3100,7.0839,2.7703,0.0000,0.3808,0.6822
main-arch,72,39,217,-12.3100,7.1753,2.7376,0.0000,0.3857,0.6803
main-arch,73,39,220,-12.3100,7.2665,2.7041,0.0000,0.3907,0.6783
main-arch,74,39,223,-12.3100,7.3556,2.6653,0.0000,0.3955,0.6760
main-arch,75,39,226,-12.3100,7.4454,2.6282,0.0000,0.4004,0.6739
main-arch,76,39,229,-12.3100,7.5343,2.5891,0.0000,0.4052,0.6716
main-arch,77,39,232,-12.3100,7.6211,2.5456,0.0000,0.4099,0.6691
main-arch,78,39,235,-12.3100,7.7071,2.5003,0.0000,0.4146,0.6665
main-arch,79,39,238,-12.3100,7.7921,2.4533,0.0000,0.4192,0.6637
main-arch,80,39,241,-12.3100,7.8767,2.4055,0.0000,0.4238,0.6609
main-arch,81,39,244,-12.3100,7.9608,2.3570,0.0000,0.4283,0.6581
main-arch,82,39,247,-12.3100,8.0441,2.3068,0.0000,0.4328,0.6552
main-arch,83,39,250,-12.3100,8.1255,2.2540,0.0000,0.4372,0.6521
main-arch,84,39,253,-12.3100,8.2050,2.1981,0.0000,0.4415,0.6489
main-arch,85,39,256,-12.3100,8.2827,2.1398,0.0000,0.4458,0.6455
main-arch,86,39,259,-12.3100,8.3620,2.0838,0.0000,0.4501,0.6422
main-arch,87,39,262,-12.3100,8.4394,2.0250,0.0000,0.4543,0.6388
main-arch,88,39,265,-12.3100,8.5173,1.9669,0.0000,0.4585,0.6354
main-arch,89,39,268,-12.3100,8.5872,1.8996,0.0000,0.4623,0.6315
main-arch,90,39,271,-12.3100,8.6636,1.8396,0.0000,0.4664,0.6280
main-arch,91,39,274,-12.3100,8.7240,1.7773,0.0000,0.4697,0.6244
main-arch,92,39,277,-12.3100,8.7956,1.7198,0.0000,0.4736,0.6211
main-arch,93,39,280,-12.3100,8.8695,1.6567,0.0000,0.4776,0.6174
main-arch,94,39,283,-12.3100,8.9339,1.5931,0.0000,0.4811,0.6137
main-arch,95,39,286,-12.3100,8.9938,1.5285,0.0000,0.4843,0.6099
main-arch,96,39,289,-12.3100,9.0667,1.4643,0.0000,0.4882,0.6062
